user_id,product_id,date,actual,pred,split,trial
1,196,2018-07-15,0.0,0.0,train,1
1,10258,2018-07-15,0.0,0.0,train,1
1,10326,2018-07-15,0.0,0.0,train,1
1,12427,2018-07-15,0.0,0.0,train,1
1,13032,2018-07-15,0.0,0.0,train,1
1,13176,2018-07-15,0.0,0.0,train,1
1,17122,2018-07-15,0.0,0.0,train,1
1,25133,2018-07-15,0.0,0.0,train,1
1,35951,2018-07-15,0.0,0.0,train,1
1,38928,2018-07-15,0.0,0.0,train,1
1,39657,2018-07-15,0.0,0.0,train,1
1,41787,2018-07-15,0.0,0.0,train,1
1,46149,2018-07-15,0.0,0.0,train,1
1,49235,2018-07-15,0.0,0.0,train,1
2,79,2018-07-15,0.0,0.0,train,1
2,1559,2018-07-15,0.0,0.0,train,1
2,2002,2018-07-15,0.0,0.0,train,1
2,2573,2018-07-15,0.0,0.0,train,1
2,3151,2018-07-15,0.0,0.0,train,1
2,4071,2018-07-15,0.0,0.0,train,1
2,5450,2018-07-15,0.0,0.0,train,1
2,5869,2018-07-15,0.0,0.0,train,1
2,7781,2018-07-15,0.0,0.0,train,1
2,8296,2018-07-15,0.0,0.0,train,1
2,9124,2018-07-15,0.0,0.0,train,1
2,10305,2018-07-15,0.0,0.0,train,1
2,12000,2018-07-15,0.0,0.0,train,1
2,12258,2018-07-15,0.0,0.0,train,1
2,13351,2018-07-15,0.0,0.0,train,1
2,13742,2018-07-15,0.0,0.0,train,1
2,15841,2018-07-15,0.0,0.0,train,1
2,16521,2018-07-15,0.0,0.0,train,1
2,16589,2018-07-15,0.0,0.0,train,1
2,17872,2018-07-15,0.0,0.0,train,1
2,18523,2018-07-15,0.0,0.0,train,1
2,18961,2018-07-15,0.0,0.0,train,1
2,19051,2018-07-15,0.0,0.0,train,1
2,19057,2018-07-15,0.0,0.0,train,1
2,19156,2018-07-15,0.0,0.0,train,1
2,19240,2018-07-15,0.0,0.0,train,1
2,21227,2018-07-15,0.0,0.0,train,1
2,21376,2018-07-15,0.0,0.0,train,1
2,21709,2018-07-15,0.0,0.0,train,1
2,22124,2018-07-15,0.0,0.0,train,1
2,22474,2018-07-15,0.0,0.0,train,1
2,22559,2018-07-15,0.0,0.0,train,1
2,22963,2018-07-15,0.0,0.0,train,1
2,24852,2018-07-15,0.0,0.0,train,1
2,24990,2018-07-15,0.0,0.0,train,1
2,27737,2018-07-15,0.0,0.0,train,1
2,30908,2018-07-15,0.0,0.0,train,1
2,32139,2018-07-15,0.0,0.0,train,1
2,32792,2018-07-15,0.0,0.0,train,1
2,33754,2018-07-15,0.0,0.0,train,1
